Number,Name,Line,Venue,Team,Team Color,Game ID,Date,Competition
1,Jascha Nagel,G,Home,Tyskland U17,#1a1a1a,U17-2025-101,2025-01-31,Exhibition
1,Victor Bager,G,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
2,Frederik Meier,3,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
3,Sander Staunsholm,1,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
4,Viggo Skubbeltang,1,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
5,Anton Kildal,2,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
8,Oscar Emil Olesen,,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
9,Jeppe Birkholt,3,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
10,Kalle Emil Ryser,3,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
11,Rasmus Lunde,1,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
12,Mads Bagge,1,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
13,Marcus Maajen Jensen,,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
14,Mikkel Johansen,2,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
15,Anton Kjøgx,2,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
16,Mads Lindholm Hansen,3,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
19,Oskar Bach,2,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
20,Sofus Winther Pedersen,1,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
21,Jonas Frillerhøj,,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
23,William Sidor Nielsen,2,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
24,Nicklas Vandet,3,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
98,Johan Gøtke Rasmussen,,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
,2 3 5 12 23,PP1,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
,2 3 12 23,PK1,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition
,10 15 19 20,PK2,Away,Danmark U17,#ec1313,U17-2025-101,2025-01-31,Exhibition